Nazwa;Średnia Precyzja;Minimalna Precyzja;Maksymalna Precyzja;Średnia Dokładność;Minimalna Dokładność;Maksymalna Dokładność;Średnia Czułość;Minimalna Czułość;Maksymalna Czułość;Średni Czas
KY_CD, PD_CD;0.354;0.022;0.708;0.530;0.294;0.799;0.332;0.047;0.668;186.170
NONE;0.310;0.015;0.736;0.490;0.161;0.807;0.289;0.010;0.707;2192.770
BORO_NM, ADDR_PCT_CD;0.304;0.010;0.728;0.498;0.139;0.802;0.285;0.010;0.702;1446.610
SUSP_AGE_GROUP, SUSP_RACE, SUSP_SEX;0.240;0.014;0.675;0.389;0.158;0.683;0.228;0.010;0.671;1109.390
VIC_AGE_GROUP, VIC_RACE, VIC_SEX;0.235;0.015;0.683;0.449;0.170;0.792;0.229;0.010;0.646;1211.720
ICA;0.206;0.005;0.591;0.426;0.170;0.673;0.218;0.010;0.578;1061.410
PCA;0.206;0.006;0.593;0.426;0.169;0.673;0.218;0.010;0.580;1166.920
