Nazwa;Średnia Precyzja;Minimalna Precyzja;Maksymalna Precyzja;Średnia Dokładność;Minimalna Dokładność;Maksymalna Dokładność;Średnia Czułość;Minimalna Czułość;Maksymalna Czułość;Średni Czas
PD_CD;0.028;0.005;0.070;0.226;0.139;0.321;0.029;0.010;0.056;2192.770
VIC_AGE_GROUP;0.097;0.022;0.200;0.409;0.313;0.489;0.092;0.044;0.158;186.170
KY_CD;0.112;0.040;0.216;0.337;0.252;0.440;0.104;0.063;0.153;204.470
SUSP_AGE_GROUP;0.121;0.065;0.194;0.519;0.368;0.604;0.120;0.074;0.170;178.090
BORO_NM;0.290;0.184;0.389;0.348;0.294;0.420;0.273;0.212;0.357;68.060
VIC_RACE;0.298;0.053;0.568;0.431;0.271;0.622;0.262;0.143;0.444;83.380
SUSP_RACE;0.335;0.173;0.616;0.560;0.401;0.713;0.323;0.201;0.553;90.260
SUSP_SEX;0.506;0.211;0.736;0.691;0.562;0.807;0.518;0.333;0.694;66.960
VIC_SEX;0.588;0.287;0.710;0.613;0.549;0.716;0.591;0.500;0.707;67.430
